
2025/02/22 (01:01:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (13:53:16) | ===> btop++ v.1.4.0
2025/02/22 (13:53:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (14:06:28) | ===> btop++ v.1.4.0
2025/02/22 (14:06:28) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/22 (14:06:37) | WARNING: Failed to join _runner thread on exit!

2025/02/22 (14:45:53) | ===> btop++ v.1.4.0
2025/02/22 (14:45:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (14:46:33) | ===> btop++ v.1.4.0
2025/02/22 (14:46:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (22:27:34) | ===> btop++ v.1.4.0
2025/02/22 (22:27:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (11:40:24) | ===> btop++ v.1.4.0
2025/02/23 (11:40:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (21:57:14) | ===> btop++ v.1.4.0
2025/02/23 (21:57:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (01:26:29) | ===> btop++ v.1.4.0
2025/02/24 (01:26:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (23:22:49) | ===> btop++ v.1.4.0
2025/02/26 (23:22:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (23:22:50) | ===> btop++ v.1.4.0
2025/02/26 (23:22:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (20:16:05) | ===> btop++ v.1.4.0
2025/02/27 (20:16:05) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/27 (20:16:07) | WARNING: Failed to join _runner thread on exit!

2025/02/28 (01:41:42) | ===> btop++ v.1.4.0
2025/02/28 (01:41:42) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/28 (01:41:43) | WARNING: Failed to join _runner thread on exit!

2025/03/01 (21:27:28) | ===> btop++ v.1.4.0
2025/03/01 (21:27:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (22:12:53) | ===> btop++ v.1.4.0
2025/03/02 (22:12:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (23:33:40) | ===> btop++ v.1.4.0
2025/03/02 (23:33:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (13:13:23) | ===> btop++ v.1.4.0
2025/03/04 (13:13:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (15:29:18) | ===> btop++ v.1.4.0
2025/03/04 (15:29:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (15:32:55) | ===> btop++ v.1.4.0
2025/03/04 (15:32:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (18:41:26) | ===> btop++ v.1.4.0
2025/03/04 (18:41:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (12:01:35) | ===> btop++ v.1.4.0
2025/03/05 (12:01:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (18:59:48) | ===> btop++ v.1.4.0
2025/03/06 (18:59:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (18:43:27) | ===> btop++ v.1.4.0
2025/03/09 (18:43:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (23:03:59) | ===> btop++ v.1.4.0
2025/03/12 (23:03:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (02:04:44) | ===> btop++ v.1.4.0
2025/03/15 (02:04:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/16 (20:21:27) | ===> btop++ v.1.4.0
2025/03/16 (20:21:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (16:54:47) | ===> btop++ v.1.4.0
2025/03/18 (16:54:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (17:23:05) | ===> btop++ v.1.4.0
2025/03/18 (17:23:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (01:00:31) | ===> btop++ v.1.4.0
2025/03/19 (01:00:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (01:56:13) | ===> btop++ v.1.4.0
2025/03/19 (01:56:13) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/19 (01:59:27) | WARNING: Failed to join _runner thread on exit!

2025/03/19 (23:26:51) | ===> btop++ v.1.4.0
2025/03/19 (23:26:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (00:19:31) | ===> btop++ v.1.4.0
2025/03/20 (00:19:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (18:25:03) | ===> btop++ v.1.4.0
2025/03/20 (18:25:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (18:25:05) | ===> btop++ v.1.4.0
2025/03/20 (18:25:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (00:08:23) | ===> btop++ v.1.4.0
2025/03/21 (00:08:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (14:39:39) | ===> btop++ v.1.4.0
2025/03/22 (14:39:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (14:39:40) | ===> btop++ v.1.4.0
2025/03/22 (14:39:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (23:58:27) | ===> btop++ v.1.4.0
2025/03/22 (23:58:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (13:25:11) | ===> btop++ v.1.4.0
2025/03/23 (13:25:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (17:59:11) | ===> btop++ v.1.4.0
2025/03/23 (17:59:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (01:24:19) | ===> btop++ v.1.4.0
2025/03/24 (01:24:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (12:07:15) | ===> btop++ v.1.4.0
2025/03/24 (12:07:15) | WARNING: Intel GPU: Failed to initialize PMU
